date_range_start,date_range_end,state,census_block_group,number_devices_residing
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480270210004,73
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482511305002,198
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291818212,116
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480990108041,146
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130173033,166
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480610139023,50
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480610119012,57
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481350029001,94
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391017001,55
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481410020002,20
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481210211001,102
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391133014,93
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391114072,238
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015224022,47
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015409011,184
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291105001,120
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483719503004,51
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482012526003,116
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482090106001,51
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482511309002,63
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015108001,56
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480739506004,114
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130138032,54
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481410033007,16
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484530018502,61
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391136121,77
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484379504002,25
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480539604001,88
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391115062,176
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483630008003,74
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484510011014,48
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482014107011,53
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483550035002,109
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482013415022,99
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481410043112,37
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391115312,81
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483671403003,53
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481830103011,92
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291704014,33
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291923004,47
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481279502003,41
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481210216183,112
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483290004011,91
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015548021,1562
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482090109061,388
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484230018023,268
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482030206051,176
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481576753002,105
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480410020091,173
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130129005,30
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015506021,74
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482450001011,176
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483030012001,39
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483810205004,56
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480410016051,67
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130013013,20
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130110011,22
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482917009003,11
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483479503014,97
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482511304084,132
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482917003005,805
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482014543013,339
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481610006001,83
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480396623002,110
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483396919001,171
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391111023,101
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481390606004,132
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481576756001,469
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483396904023,92
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482014319001,107
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482917012004,35
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482511307002,47
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015219003,52
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130004013,46
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291811004,52
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482450101001,28
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482012119002,46
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291807024,58
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481851801021,194
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482179601002,299
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484530019121,168
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130109023,123
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480610125072,168
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483550062002,373
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484790018083,139
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291217014,55
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484530018283,51
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481410041071,54
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482012221002,125
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482014129001,97
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130190292,102
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291818081,105
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391219053,67
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482012509004,315
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291914121,130
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481439505004,67
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,485019502004,84
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130078184,43
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291912011,73
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483959602001,33
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391046054,42
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480439503003,36
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391048034,36
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481479504024,126
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130182041,97
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480850305084,105
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482319615021,315
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483030019011,68
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391132064,86
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481210217211,115
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481677238002,94
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481350005002,45
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130047002,33
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130072024,66
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482259504003,10
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480990107013,189
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483732103012,128
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482012216001,85
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484530004022,38
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484339503001,50
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484690017001,116
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483290101121,351
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481210213052,134
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484410136003,199
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483499709005,118
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482012524003,97
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480610108003,119
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130118005,91
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291218022,200
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130181182,107
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015108006,57
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130192121,45
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483396911001,113
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482012328002,142
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484530018123,159
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483090009001,24
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483090038023,103
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483550036032,233
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483396937002,702
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130071023,30
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480519701001,107
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391101012,72
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482014315013,59
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391111042,84
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483290012004,75
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484971504031,169
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391139073,154
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480270225023,220
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291818251,107
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482150217012,116
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391022023,55
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015507002,63
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130190395,69
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391104012,108
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483030014004,60
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015547002,389
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482730203005,125
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482730204003,91
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130144083,122
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481210217332,97
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482030201022,47
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484930004041,185
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483970403021,197
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484530018233,366
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482450114005,165
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480850316274,42
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291913041,138
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480291212045,121
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482150244041,109
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130145022,82
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480850317043,47
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481410002063,54
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130054004,65
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484530017611,115
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482013316014,27
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481576748001,81
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391139272,341
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484910214022,46
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,481130181262,134
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,482015111001,92
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391115391,292
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484736805003,173
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484391114022,144
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,480717104013,188
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,483750119003,94
2020-07-20T07:00:00Z,2020-07-27T07:00:00Z,tx,484599503003,105
