date_range_start,date_range_end,state,census_block_group,number_devices_residing
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,482014526003,181
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,480850314093,175
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481130178042,105
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481130184022,60
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,480291615031,137
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,483319501001,92
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,482179611001,232
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,480291615042,218
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,482239502003,126
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481350005002,52
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,482339502001,90
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,482015207003,112
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,484230001003,27
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,480439504001,42
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481130142041,63
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,483290101093,110
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,484510011014,54
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481576731021,759
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,484391227003,130
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,484391132212,145
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,483732102032,188
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,484090106013,81
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,480850303021,268
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,482013115002,63
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481239704001,85
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,482013333001,147
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481499703006,54
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,484391114072,218
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,483090041021,127
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,484910208042,76
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,480839503003,55
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481130181272,80
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,482013229001,91
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481410021003,30
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,483090019002,130
2020-06-22T07:00:00Z,2020-06-29T07:00:00Z,tx,481677227002,32
