date_range_start,date_range_end,state,census_block_group,number_devices_residing
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,484230021023,244
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,482015114001,47
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,481210203062,832
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,481410022023,14
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,481576749002,36
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,481130141233,76
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,480850305142,121
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,482015501001,137
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,480370106002,17
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,484391136273,122
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,481350019004,52
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,480291818241,75
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,483732102031,27
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,484530020052,34
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,481130003001,47
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,482015416011,289
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,482015303002,24
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,484391139283,165
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,481350016002,35
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,484090113003,36
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,482850006002,46
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,483090007001,66
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,482013430003,193
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,480291412004,32
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,482012217002,96
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,480291902001,21
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,482659603021,99
2020-07-27T07:00:00Z,2020-08-03T07:00:00Z,tx,481130117012,78
