date_range_start,date_range_end,state,census_block_group,number_devices_residing
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,483550017015,230
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,484391140031,539
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,484910214014,241
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482339502002,177
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,480990108022,92
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,481872108041,148
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,484391138083,127
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482014521002,330
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,483030021021,103
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482150244041,104
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482030201024,219
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482014311012,116
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482014310002,57
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482150216003,60
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,480259502024,79
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,484530025001,50
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,484510010001,60
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,481677240001,81
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482014116001,49
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482450111012,74
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,481390611003,106
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,483810220011,432
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,483810208003,99
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482917003004,56
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,484910205081,177
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,483396925003,217
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,481410004013,122
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,481350028021,191
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,481851803013,152
2020-07-13T07:00:00Z,2020-07-20T07:00:00Z,tx,482015337012,73
