date_range_start,date_range_end,state,census_block_group,number_devices_residing
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481830104002,156
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484391043001,36
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480396643001,85
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484410122003,65
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483970403025,224
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482450113042,220
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481130017041,44
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481410040021,126
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480610125041,227
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482030203012,98
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480291719233,125
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481851801021,193
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480610126132,43
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480291218093,105
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482150202053,87
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482015535003,120
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482013412022,44
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484850104001,25
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482013118001,51
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481079501002,17
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481210216292,131
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481130137183,86
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483290101124,441
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481677255002,44
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484530019012,66
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483059506001,100
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484910215051,113
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484910207072,135
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480610119014,57
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482013216002,51
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480291416001,133
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480291609013,60
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480499502001,80
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481130106011,81
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482014124004,50
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484391056003,57
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480291219042,189
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484391140051,256
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480850305181,324
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481210216182,107
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482014329022,104
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484391107032,317
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483630006003,115
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481830106004,75
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484910202023,303
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481410035013,36
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483396931011,61
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483090030001,47
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481576730012,209
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483810216051,110
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484839503001,103
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484510018001,71
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482013437002,59
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484530006011,22
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483970405062,545
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480291810051,117
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483030013001,46
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482419507001,232
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481576723022,42
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481810008003,86
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482015523022,97
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484930001032,150
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,482012509002,301
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480499503001,151
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484499501001,97
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481499705001,97
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483030018043,40
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481959501001,36
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481130190211,70
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484530015034,72
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481130190404,78
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484230007001,55
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481210217453,68
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481130188022,72
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,484391105006,50
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483396940003,349
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480291719212,95
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,481350018002,118
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480850308022,123
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,483550017022,64
2020-06-15T07:00:00Z,2020-06-22T07:00:00Z,tx,480410020012,131
